english,sign
they study cricket,THEY STUDY CRICKET
we like water,WE LIKE WATER
i like college,I LIKE COLLEGE
she eat cricket,SHE EAT CRICKET
they play water,THEY PLAY WATER
i go food,I GO FOOD
you go book,YOU GO BOOK
we eat college,WE EAT COLLEGE
he eat school,HE EAT SCHOOL
he drink college,HE DRINK COLLEGE
he drink food,HE DRINK FOOD
he go book,HE GO BOOK
i study book,I STUDY BOOK
i eat college,I EAT COLLEGE
we drink food,WE DRINK FOOD
i eat college,I EAT COLLEGE
i eat food,I EAT FOOD
he drink movie,HE DRINK MOVIE
they play movie,THEY PLAY MOVIE
he play school,HE PLAY SCHOOL
he eat movie,HE EAT MOVIE
you like school,YOU LIKE SCHOOL
we see food,WE SEE FOOD
she go cricket,SHE GO CRICKET
you eat book,YOU EAT BOOK
you go school,YOU GO SCHOOL
i play food,I PLAY FOOD
i eat water,I EAT WATER
she eat movie,SHE EAT MOVIE
she play cricket,SHE PLAY CRICKET
we play college,WE PLAY COLLEGE
he go water,HE GO WATER
they drink college,THEY DRINK COLLEGE
he play movie,HE PLAY MOVIE
she eat college,SHE EAT COLLEGE
they play movie,THEY PLAY MOVIE
they drink water,THEY DRINK WATER
i study movie,I STUDY MOVIE
he like book,HE LIKE BOOK
we like movie,WE LIKE MOVIE
i drink food,I DRINK FOOD
they go school,THEY GO SCHOOL
he study college,HE STUDY COLLEGE
i want water,I WANT WATER
i see college,I SEE COLLEGE
i study food,I STUDY FOOD
we eat food,WE EAT FOOD
she study school,SHE STUDY SCHOOL
they go water,THEY GO WATER
i like food,I LIKE FOOD
they drink book,THEY DRINK BOOK
he like college,HE LIKE COLLEGE
i see cricket,I SEE CRICKET
they like movie,THEY LIKE MOVIE
she go school,SHE GO SCHOOL
i like school,I LIKE SCHOOL
i go water,I GO WATER
you play school,YOU PLAY SCHOOL
you go water,YOU GO WATER
you see food,YOU SEE FOOD
i play water,I PLAY WATER
they study water,THEY STUDY WATER
we study school,WE STUDY SCHOOL
you eat movie,YOU EAT MOVIE
she go book,SHE GO BOOK
i want college,I WANT COLLEGE
we like food,WE LIKE FOOD
you study school,YOU STUDY SCHOOL
i go movie,I GO MOVIE
i see movie,I SEE MOVIE
she eat book,SHE EAT BOOK
i go movie,I GO MOVIE
she want water,SHE WANT WATER
they go book,THEY GO BOOK
we like school,WE LIKE SCHOOL
you like college,YOU LIKE COLLEGE
he like water,HE LIKE WATER
he study book,HE STUDY BOOK
he see college,HE SEE COLLEGE
he play food,HE PLAY FOOD
we want water,WE WANT WATER
you study book,YOU STUDY BOOK
you want cricket,YOU WANT CRICKET
we like water,WE LIKE WATER
we play food,WE PLAY FOOD
she eat school,SHE EAT SCHOOL
she see movie,SHE SEE MOVIE
they want food,THEY WANT FOOD
i see college,I SEE COLLEGE
they study cricket,THEY STUDY CRICKET
he like movie,HE LIKE MOVIE
they play cricket,THEY PLAY CRICKET
i play food,I PLAY FOOD
she eat movie,SHE EAT MOVIE
we like water,WE LIKE WATER
you want cricket,YOU WANT CRICKET
she want food,SHE WANT FOOD
he study water,HE STUDY WATER
you want book,YOU WANT BOOK
he drink school,HE DRINK SCHOOL
she want book,SHE WANT BOOK
he play cricket,HE PLAY CRICKET
we like water,WE LIKE WATER
they study food,THEY STUDY FOOD
he want school,HE WANT SCHOOL
she eat water,SHE EAT WATER
you see cricket,YOU SEE CRICKET
she like food,SHE LIKE FOOD
you study movie,YOU STUDY MOVIE
she want water,SHE WANT WATER
they like college,THEY LIKE COLLEGE
she like college,SHE LIKE COLLEGE
he study cricket,HE STUDY CRICKET
we eat college,WE EAT COLLEGE
you eat food,YOU EAT FOOD
you drink movie,YOU DRINK MOVIE
she play college,SHE PLAY COLLEGE
you see cricket,YOU SEE CRICKET
we eat food,WE EAT FOOD
you drink school,YOU DRINK SCHOOL
she go book,SHE GO BOOK
she like book,SHE LIKE BOOK
you play water,YOU PLAY WATER
she go cricket,SHE GO CRICKET
he see school,HE SEE SCHOOL
they drink movie,THEY DRINK MOVIE
we play book,WE PLAY BOOK
he want book,HE WANT BOOK
she see school,SHE SEE SCHOOL
she want college,SHE WANT COLLEGE
she want cricket,SHE WANT CRICKET
she like movie,SHE LIKE MOVIE
he drink food,HE DRINK FOOD
he study college,HE STUDY COLLEGE
they eat book,THEY EAT BOOK
you want book,YOU WANT BOOK
she see food,SHE SEE FOOD
he eat cricket,HE EAT CRICKET
they go food,THEY GO FOOD
i want movie,I WANT MOVIE
you study book,YOU STUDY BOOK
you play college,YOU PLAY COLLEGE
i play water,I PLAY WATER
we like book,WE LIKE BOOK
we want college,WE WANT COLLEGE
she like water,SHE LIKE WATER
he eat water,HE EAT WATER
they drink water,THEY DRINK WATER
he drink water,HE DRINK WATER
we drink movie,WE DRINK MOVIE
they see food,THEY SEE FOOD
they see college,THEY SEE COLLEGE
she study school,SHE STUDY SCHOOL
she like school,SHE LIKE SCHOOL
he want food,HE WANT FOOD
you go movie,YOU GO MOVIE
she study book,SHE STUDY BOOK
she like school,SHE LIKE SCHOOL
we go water,WE GO WATER
they see school,THEY SEE SCHOOL
she play food,SHE PLAY FOOD
she like book,SHE LIKE BOOK
she see movie,SHE SEE MOVIE
we study food,WE STUDY FOOD
you go cricket,YOU GO CRICKET
you drink food,YOU DRINK FOOD
we like college,WE LIKE COLLEGE
you see cricket,YOU SEE CRICKET
they play college,THEY PLAY COLLEGE
they see book,THEY SEE BOOK
you play college,YOU PLAY COLLEGE
you like food,YOU LIKE FOOD
i play water,I PLAY WATER
they want food,THEY WANT FOOD
i play college,I PLAY COLLEGE
i see cricket,I SEE CRICKET
they want cricket,THEY WANT CRICKET
you eat college,YOU EAT COLLEGE
they play college,THEY PLAY COLLEGE
he eat school,HE EAT SCHOOL
you go college,YOU GO COLLEGE
he play college,HE PLAY COLLEGE
they see movie,THEY SEE MOVIE
i want school,I WANT SCHOOL
she eat food,SHE EAT FOOD
you drink water,YOU DRINK WATER
they see college,THEY SEE COLLEGE
they eat book,THEY EAT BOOK
they see cricket,THEY SEE CRICKET
we study school,WE STUDY SCHOOL
we drink water,WE DRINK WATER
he see book,HE SEE BOOK
we study college,WE STUDY COLLEGE
she see book,SHE SEE BOOK
i go cricket,I GO CRICKET
i like college,I LIKE COLLEGE
he play school,HE PLAY SCHOOL
i eat water,I EAT WATER
you eat cricket,YOU EAT CRICKET
you eat food,YOU EAT FOOD
they like book,THEY LIKE BOOK
i eat water,I EAT WATER
you eat cricket,YOU EAT CRICKET
you eat cricket,YOU EAT CRICKET
you want food,YOU WANT FOOD
he eat water,HE EAT WATER
she like school,SHE LIKE SCHOOL
i eat college,I EAT COLLEGE
they play college,THEY PLAY COLLEGE
he eat book,HE EAT BOOK
you see cricket,YOU SEE CRICKET
they want water,THEY WANT WATER
he play school,HE PLAY SCHOOL
we want food,WE WANT FOOD
they study food,THEY STUDY FOOD
you play water,YOU PLAY WATER
he like book,HE LIKE BOOK
we want food,WE WANT FOOD
she eat movie,SHE EAT MOVIE
they see movie,THEY SEE MOVIE
they like college,THEY LIKE COLLEGE
she see cricket,SHE SEE CRICKET
they eat food,THEY EAT FOOD
she see movie,SHE SEE MOVIE
we play movie,WE PLAY MOVIE
you see movie,YOU SEE MOVIE
we want movie,WE WANT MOVIE
she go movie,SHE GO MOVIE
they eat cricket,THEY EAT CRICKET
she like food,SHE LIKE FOOD
i want college,I WANT COLLEGE
he play cricket,HE PLAY CRICKET
he like college,HE LIKE COLLEGE
he see book,HE SEE BOOK
we want cricket,WE WANT CRICKET
we want college,WE WANT COLLEGE
i see cricket,I SEE CRICKET
he play movie,HE PLAY MOVIE
you go school,YOU GO SCHOOL
i study food,I STUDY FOOD
he drink school,HE DRINK SCHOOL
i eat school,I EAT SCHOOL
i go movie,I GO MOVIE
we go book,WE GO BOOK
i go food,I GO FOOD
you like college,YOU LIKE COLLEGE
you drink water,YOU DRINK WATER
you go water,YOU GO WATER
you play movie,YOU PLAY MOVIE
he drink cricket,HE DRINK CRICKET
you play food,YOU PLAY FOOD
i study movie,I STUDY MOVIE
i want school,I WANT SCHOOL
you see college,YOU SEE COLLEGE
they eat food,THEY EAT FOOD
he go movie,HE GO MOVIE
they play school,THEY PLAY SCHOOL
he like water,HE LIKE WATER
she see college,SHE SEE COLLEGE
you see movie,YOU SEE MOVIE
she play movie,SHE PLAY MOVIE
he want cricket,HE WANT CRICKET
i want food,I WANT FOOD
i study movie,I STUDY MOVIE
they like food,THEY LIKE FOOD
we play cricket,WE PLAY CRICKET
we eat movie,WE EAT MOVIE
i play book,I PLAY BOOK
you eat school,YOU EAT SCHOOL
we drink book,WE DRINK BOOK
i want school,I WANT SCHOOL
he drink book,HE DRINK BOOK
you see college,YOU SEE COLLEGE
we want movie,WE WANT MOVIE
she play movie,SHE PLAY MOVIE
i drink cricket,I DRINK CRICKET
we play water,WE PLAY WATER
i go college,I GO COLLEGE
i study movie,I STUDY MOVIE
we study school,WE STUDY SCHOOL
he go food,HE GO FOOD
they eat movie,THEY EAT MOVIE
you go movie,YOU GO MOVIE
we like food,WE LIKE FOOD
i see food,I SEE FOOD
we go food,WE GO FOOD
we drink water,WE DRINK WATER
they see cricket,THEY SEE CRICKET
i play water,I PLAY WATER
he like food,HE LIKE FOOD
i play book,I PLAY BOOK
we go school,WE GO SCHOOL
they go college,THEY GO COLLEGE
he see book,HE SEE BOOK
he want cricket,HE WANT CRICKET
we see food,WE SEE FOOD
i see college,I SEE COLLEGE
you see movie,YOU SEE MOVIE
we want cricket,WE WANT CRICKET
they want book,THEY WANT BOOK
he like food,HE LIKE FOOD
we drink movie,WE DRINK MOVIE
he eat college,HE EAT COLLEGE
you study cricket,YOU STUDY CRICKET
he study college,HE STUDY COLLEGE
they go book,THEY GO BOOK
they study book,THEY STUDY BOOK
they play cricket,THEY PLAY CRICKET
we go book,WE GO BOOK
i drink movie,I DRINK MOVIE
he go school,HE GO SCHOOL
he see cricket,HE SEE CRICKET
he want movie,HE WANT MOVIE
i want cricket,I WANT CRICKET
you go food,YOU GO FOOD
we want book,WE WANT BOOK
they go school,THEY GO SCHOOL
i see college,I SEE COLLEGE
she want movie,SHE WANT MOVIE
she drink water,SHE DRINK WATER
you study book,YOU STUDY BOOK
you want book,YOU WANT BOOK
i play food,I PLAY FOOD
we see water,WE SEE WATER
you drink book,YOU DRINK BOOK
you like cricket,YOU LIKE CRICKET
he drink movie,HE DRINK MOVIE
we study movie,WE STUDY MOVIE
she eat food,SHE EAT FOOD
he want school,HE WANT SCHOOL
i play food,I PLAY FOOD
he like school,HE LIKE SCHOOL
we drink school,WE DRINK SCHOOL
she like food,SHE LIKE FOOD
we study water,WE STUDY WATER
we study movie,WE STUDY MOVIE
he see cricket,HE SEE CRICKET
they see cricket,THEY SEE CRICKET
you want school,YOU WANT SCHOOL
you want book,YOU WANT BOOK
they like school,THEY LIKE SCHOOL
she see food,SHE SEE FOOD
i play food,I PLAY FOOD
they like movie,THEY LIKE MOVIE
we like food,WE LIKE FOOD
i study cricket,I STUDY CRICKET
we like school,WE LIKE SCHOOL
we drink water,WE DRINK WATER
we eat college,WE EAT COLLEGE
they eat water,THEY EAT WATER
we see water,WE SEE WATER
i see food,I SEE FOOD
she like college,SHE LIKE COLLEGE
you want movie,YOU WANT MOVIE
i like college,I LIKE COLLEGE
i go food,I GO FOOD
you play water,YOU PLAY WATER
he like book,HE LIKE BOOK
i play book,I PLAY BOOK
he drink college,HE DRINK COLLEGE
you study college,YOU STUDY COLLEGE
she want college,SHE WANT COLLEGE
he eat college,HE EAT COLLEGE
we study cricket,WE STUDY CRICKET
i see book,I SEE BOOK
i see school,I SEE SCHOOL
you drink movie,YOU DRINK MOVIE
i study school,I STUDY SCHOOL
we see book,WE SEE BOOK
they drink college,THEY DRINK COLLEGE
he like book,HE LIKE BOOK
he go water,HE GO WATER
i eat water,I EAT WATER
we like food,WE LIKE FOOD
i want cricket,I WANT CRICKET
she go cricket,SHE GO CRICKET
they want movie,THEY WANT MOVIE
he drink school,HE DRINK SCHOOL
they drink cricket,THEY DRINK CRICKET
she study college,SHE STUDY COLLEGE
i drink food,I DRINK FOOD
you want water,YOU WANT WATER
she study cricket,SHE STUDY CRICKET
you want cricket,YOU WANT CRICKET
they want movie,THEY WANT MOVIE
she drink food,SHE DRINK FOOD
you drink college,YOU DRINK COLLEGE
you eat school,YOU EAT SCHOOL
she want school,SHE WANT SCHOOL
they like college,THEY LIKE COLLEGE
she eat book,SHE EAT BOOK
he eat cricket,HE EAT CRICKET
she play water,SHE PLAY WATER
she eat school,SHE EAT SCHOOL
you see college,YOU SEE COLLEGE
we go school,WE GO SCHOOL
they play book,THEY PLAY BOOK
they study movie,THEY STUDY MOVIE
i drink college,I DRINK COLLEGE
i go college,I GO COLLEGE
i eat water,I EAT WATER
you eat college,YOU EAT COLLEGE
you like cricket,YOU LIKE CRICKET
you eat school,YOU EAT SCHOOL
you study cricket,YOU STUDY CRICKET
you eat food,YOU EAT FOOD
you eat school,YOU EAT SCHOOL
we go cricket,WE GO CRICKET
he like school,HE LIKE SCHOOL
we like college,WE LIKE COLLEGE
you want food,YOU WANT FOOD
i play college,I PLAY COLLEGE
we like book,WE LIKE BOOK
i go food,I GO FOOD
i go food,I GO FOOD
we go college,WE GO COLLEGE
i study water,I STUDY WATER
they study book,THEY STUDY BOOK
they want food,THEY WANT FOOD
he study movie,HE STUDY MOVIE
she play school,SHE PLAY SCHOOL
he study cricket,HE STUDY CRICKET
she go movie,SHE GO MOVIE
you like school,YOU LIKE SCHOOL
you want water,YOU WANT WATER
she play college,SHE PLAY COLLEGE
i see school,I SEE SCHOOL
we want food,WE WANT FOOD
i play water,I PLAY WATER
i see school,I SEE SCHOOL
they drink movie,THEY DRINK MOVIE
you go book,YOU GO BOOK
i study school,I STUDY SCHOOL
you drink cricket,YOU DRINK CRICKET
you study food,YOU STUDY FOOD
she play cricket,SHE PLAY CRICKET
i drink movie,I DRINK MOVIE
i see water,I SEE WATER
we eat cricket,WE EAT CRICKET
i drink school,I DRINK SCHOOL
they study cricket,THEY STUDY CRICKET
she study water,SHE STUDY WATER
we go cricket,WE GO CRICKET
she study school,SHE STUDY SCHOOL
i go cricket,I GO CRICKET
we see school,WE SEE SCHOOL
you see college,YOU SEE COLLEGE
i like book,I LIKE BOOK
we see cricket,WE SEE CRICKET
she eat school,SHE EAT SCHOOL
i go cricket,I GO CRICKET
they play movie,THEY PLAY MOVIE
we study college,WE STUDY COLLEGE
you see movie,YOU SEE MOVIE
we want book,WE WANT BOOK
i want school,I WANT SCHOOL
i want school,I WANT SCHOOL
i study food,I STUDY FOOD
we eat water,WE EAT WATER
he eat movie,HE EAT MOVIE
they eat school,THEY EAT SCHOOL
you want school,YOU WANT SCHOOL
i study movie,I STUDY MOVIE
they study food,THEY STUDY FOOD
she eat school,SHE EAT SCHOOL
we study cricket,WE STUDY CRICKET
we want book,WE WANT BOOK
they like cricket,THEY LIKE CRICKET
he eat school,HE EAT SCHOOL
i eat food,I EAT FOOD
she like food,SHE LIKE FOOD
she play cricket,SHE PLAY CRICKET
she eat movie,SHE EAT MOVIE
we go cricket,WE GO CRICKET
they like water,THEY LIKE WATER
he play food,HE PLAY FOOD
he want book,HE WANT BOOK
he see cricket,HE SEE CRICKET
i go school,I GO SCHOOL
they drink book,THEY DRINK BOOK
you like school,YOU LIKE SCHOOL
i drink food,I DRINK FOOD
she eat cricket,SHE EAT CRICKET
they play college,THEY PLAY COLLEGE
you want book,YOU WANT BOOK
you study movie,YOU STUDY MOVIE
you see water,YOU SEE WATER
i drink book,I DRINK BOOK
they go food,THEY GO FOOD
i like food,I LIKE FOOD
they drink food,THEY DRINK FOOD
she want movie,SHE WANT MOVIE
we want food,WE WANT FOOD
he see water,HE SEE WATER
we eat book,WE EAT BOOK
she play food,SHE PLAY FOOD
they eat college,THEY EAT COLLEGE
you play movie,YOU PLAY MOVIE
we see food,WE SEE FOOD
we want water,WE WANT WATER
we study food,WE STUDY FOOD
we play book,WE PLAY BOOK
we want food,WE WANT FOOD
you see water,YOU SEE WATER
i drink movie,I DRINK MOVIE
you eat food,YOU EAT FOOD
he drink water,HE DRINK WATER
they study cricket,THEY STUDY CRICKET
i eat water,I EAT WATER
he go college,HE GO COLLEGE
she go food,SHE GO FOOD
we go school,WE GO SCHOOL
they play water,THEY PLAY WATER
we go cricket,WE GO CRICKET
he go school,HE GO SCHOOL
we drink movie,WE DRINK MOVIE
we eat food,WE EAT FOOD
you eat food,YOU EAT FOOD
he play water,HE PLAY WATER
you go food,YOU GO FOOD
she eat water,SHE EAT WATER
they like movie,THEY LIKE MOVIE
they go school,THEY GO SCHOOL
she study college,SHE STUDY COLLEGE
they play cricket,THEY PLAY CRICKET
they play water,THEY PLAY WATER
i go food,I GO FOOD
i go book,I GO BOOK
we see food,WE SEE FOOD
she study cricket,SHE STUDY CRICKET
i go water,I GO WATER
they drink food,THEY DRINK FOOD
you study food,YOU STUDY FOOD
we eat water,WE EAT WATER
you see food,YOU SEE FOOD
they see college,THEY SEE COLLEGE
he like college,HE LIKE COLLEGE
he go book,HE GO BOOK
she study book,SHE STUDY BOOK
he like movie,HE LIKE MOVIE
she want college,SHE WANT COLLEGE
she drink college,SHE DRINK COLLEGE
they play school,THEY PLAY SCHOOL
he go food,HE GO FOOD
they like school,THEY LIKE SCHOOL
she eat school,SHE EAT SCHOOL
we study school,WE STUDY SCHOOL
he like cricket,HE LIKE CRICKET
he want food,HE WANT FOOD
you want college,YOU WANT COLLEGE
she drink school,SHE DRINK SCHOOL
she go water,SHE GO WATER
i want food,I WANT FOOD
they want book,THEY WANT BOOK
you study cricket,YOU STUDY CRICKET
you play food,YOU PLAY FOOD
they see cricket,THEY SEE CRICKET
i go school,I GO SCHOOL
we see cricket,WE SEE CRICKET
you drink cricket,YOU DRINK CRICKET
she go college,SHE GO COLLEGE
they go food,THEY GO FOOD
we like food,WE LIKE FOOD
they go food,THEY GO FOOD
we drink book,WE DRINK BOOK
she like book,SHE LIKE BOOK
you eat food,YOU EAT FOOD
she play movie,SHE PLAY MOVIE
he like school,HE LIKE SCHOOL
you want book,YOU WANT BOOK
we study water,WE STUDY WATER
we play movie,WE PLAY MOVIE
she play college,SHE PLAY COLLEGE
i see movie,I SEE MOVIE
we eat water,WE EAT WATER
he play school,HE PLAY SCHOOL
he want cricket,HE WANT CRICKET
we see college,WE SEE COLLEGE
she see movie,SHE SEE MOVIE
i want college,I WANT COLLEGE
she want water,SHE WANT WATER
she want college,SHE WANT COLLEGE
we study movie,WE STUDY MOVIE
he study food,HE STUDY FOOD
we go food,WE GO FOOD
i study college,I STUDY COLLEGE
he study book,HE STUDY BOOK
you drink school,YOU DRINK SCHOOL
she want water,SHE WANT WATER
she play movie,SHE PLAY MOVIE
they go school,THEY GO SCHOOL
he go college,HE GO COLLEGE
you like cricket,YOU LIKE CRICKET
you study book,YOU STUDY BOOK
you study cricket,YOU STUDY CRICKET
she see school,SHE SEE SCHOOL
you play school,YOU PLAY SCHOOL
she drink water,SHE DRINK WATER
you eat water,YOU EAT WATER
he eat cricket,HE EAT CRICKET
we drink movie,WE DRINK MOVIE
i play food,I PLAY FOOD
they go college,THEY GO COLLEGE
i eat book,I EAT BOOK
you go water,YOU GO WATER
we eat food,WE EAT FOOD
i study movie,I STUDY MOVIE
they see college,THEY SEE COLLEGE
we play book,WE PLAY BOOK
she study movie,SHE STUDY MOVIE
we want water,WE WANT WATER
she like school,SHE LIKE SCHOOL
i want movie,I WANT MOVIE
you study cricket,YOU STUDY CRICKET
you go school,YOU GO SCHOOL
we study book,WE STUDY BOOK
she go water,SHE GO WATER
they study movie,THEY STUDY MOVIE
he want water,HE WANT WATER
they study food,THEY STUDY FOOD
they see book,THEY SEE BOOK
we like water,WE LIKE WATER
you eat book,YOU EAT BOOK
she go water,SHE GO WATER
she see school,SHE SEE SCHOOL
she drink cricket,SHE DRINK CRICKET
i see water,I SEE WATER
i drink food,I DRINK FOOD
he eat food,HE EAT FOOD
he eat water,HE EAT WATER
we go movie,WE GO MOVIE
they study college,THEY STUDY COLLEGE
you study book,YOU STUDY BOOK
he like water,HE LIKE WATER
you drink book,YOU DRINK BOOK
we see cricket,WE SEE CRICKET
you see book,YOU SEE BOOK
you go college,YOU GO COLLEGE
i see college,I SEE COLLEGE
they eat food,THEY EAT FOOD
we eat college,WE EAT COLLEGE
you see cricket,YOU SEE CRICKET
he drink food,HE DRINK FOOD
you play cricket,YOU PLAY CRICKET
she eat movie,SHE EAT MOVIE
i drink school,I DRINK SCHOOL
i like water,I LIKE WATER
she play movie,SHE PLAY MOVIE
i play cricket,I PLAY CRICKET
he see book,HE SEE BOOK
they want water,THEY WANT WATER
we see cricket,WE SEE CRICKET
we drink college,WE DRINK COLLEGE
you like college,YOU LIKE COLLEGE
i study food,I STUDY FOOD
they like book,THEY LIKE BOOK
i play movie,I PLAY MOVIE
you drink food,YOU DRINK FOOD
he study college,HE STUDY COLLEGE
we want book,WE WANT BOOK
she play college,SHE PLAY COLLEGE
you want water,YOU WANT WATER
he play college,HE PLAY COLLEGE
we play water,WE PLAY WATER
we eat movie,WE EAT MOVIE
he go movie,HE GO MOVIE
i see movie,I SEE MOVIE
he play movie,HE PLAY MOVIE
we like food,WE LIKE FOOD
you like college,YOU LIKE COLLEGE
he like food,HE LIKE FOOD
we eat college,WE EAT COLLEGE
i see college,I SEE COLLEGE
we drink college,WE DRINK COLLEGE
we study food,WE STUDY FOOD
she want food,SHE WANT FOOD
i drink cricket,I DRINK CRICKET
she eat book,SHE EAT BOOK
you like movie,YOU LIKE MOVIE
we go college,WE GO COLLEGE
he eat school,HE EAT SCHOOL
i eat school,I EAT SCHOOL
she drink food,SHE DRINK FOOD
we study movie,WE STUDY MOVIE
i want water,I WANT WATER
we play college,WE PLAY COLLEGE
he eat school,HE EAT SCHOOL
you drink cricket,YOU DRINK CRICKET
i like school,I LIKE SCHOOL
they study book,THEY STUDY BOOK
we go movie,WE GO MOVIE
you want book,YOU WANT BOOK
he go college,HE GO COLLEGE
they play school,THEY PLAY SCHOOL
they go movie,THEY GO MOVIE
you see book,YOU SEE BOOK
i want movie,I WANT MOVIE
they like school,THEY LIKE SCHOOL
i play college,I PLAY COLLEGE
you drink food,YOU DRINK FOOD
he play movie,HE PLAY MOVIE
you want movie,YOU WANT MOVIE
she drink school,SHE DRINK SCHOOL
we play food,WE PLAY FOOD
they eat cricket,THEY EAT CRICKET
he like book,HE LIKE BOOK
they play cricket,THEY PLAY CRICKET
we want food,WE WANT FOOD
i eat college,I EAT COLLEGE
he see book,HE SEE BOOK
they like school,THEY LIKE SCHOOL
you want book,YOU WANT BOOK
i play movie,I PLAY MOVIE
they drink cricket,THEY DRINK CRICKET
they see cricket,THEY SEE CRICKET
they drink movie,THEY DRINK MOVIE
we like cricket,WE LIKE CRICKET
she like water,SHE LIKE WATER
he want movie,HE WANT MOVIE
you study book,YOU STUDY BOOK
i eat book,I EAT BOOK
i like school,I LIKE SCHOOL
she like food,SHE LIKE FOOD
they like water,THEY LIKE WATER
you eat college,YOU EAT COLLEGE
they study college,THEY STUDY COLLEGE
we go school,WE GO SCHOOL
she go cricket,SHE GO CRICKET
we drink water,WE DRINK WATER
they see food,THEY SEE FOOD
you play school,YOU PLAY SCHOOL
we want movie,WE WANT MOVIE
you eat school,YOU EAT SCHOOL
she want college,SHE WANT COLLEGE
you go school,YOU GO SCHOOL
i drink food,I DRINK FOOD
they eat movie,THEY EAT MOVIE
i eat cricket,I EAT CRICKET
we like movie,WE LIKE MOVIE
i eat cricket,I EAT CRICKET
he drink school,HE DRINK SCHOOL
we study movie,WE STUDY MOVIE
i want school,I WANT SCHOOL
we like school,WE LIKE SCHOOL
she like cricket,SHE LIKE CRICKET
i want cricket,I WANT CRICKET
we want cricket,WE WANT CRICKET
they want book,THEY WANT BOOK
she play college,SHE PLAY COLLEGE
she see book,SHE SEE BOOK
you study college,YOU STUDY COLLEGE
you play book,YOU PLAY BOOK
they eat college,THEY EAT COLLEGE
i play food,I PLAY FOOD
she like cricket,SHE LIKE CRICKET
you eat college,YOU EAT COLLEGE
he play food,HE PLAY FOOD
he go food,HE GO FOOD
you drink water,YOU DRINK WATER
we study water,WE STUDY WATER
he eat water,HE EAT WATER
you eat cricket,YOU EAT CRICKET
i eat school,I EAT SCHOOL
they want school,THEY WANT SCHOOL
i want book,I WANT BOOK
he drink college,HE DRINK COLLEGE
they study water,THEY STUDY WATER
we go school,WE GO SCHOOL
he like school,HE LIKE SCHOOL
they go school,THEY GO SCHOOL
he eat school,HE EAT SCHOOL
she drink book,SHE DRINK BOOK
you drink water,YOU DRINK WATER
i eat food,I EAT FOOD
we drink movie,WE DRINK MOVIE
he like book,HE LIKE BOOK
they eat book,THEY EAT BOOK
you drink water,YOU DRINK WATER
he play movie,HE PLAY MOVIE
she eat cricket,SHE EAT CRICKET
they want book,THEY WANT BOOK
i play school,I PLAY SCHOOL
she drink school,SHE DRINK SCHOOL
we like food,WE LIKE FOOD
i go cricket,I GO CRICKET
she see college,SHE SEE COLLEGE
he go school,HE GO SCHOOL
you drink movie,YOU DRINK MOVIE
he see movie,HE SEE MOVIE
they go food,THEY GO FOOD
they play food,THEY PLAY FOOD
we go book,WE GO BOOK
she want cricket,SHE WANT CRICKET
he want book,HE WANT BOOK
they drink book,THEY DRINK BOOK
she see movie,SHE SEE MOVIE
i play movie,I PLAY MOVIE
you study movie,YOU STUDY MOVIE
i eat movie,I EAT MOVIE
they play school,THEY PLAY SCHOOL
she drink water,SHE DRINK WATER
she eat food,SHE EAT FOOD
i eat food,I EAT FOOD
he want food,HE WANT FOOD
you eat movie,YOU EAT MOVIE
he play food,HE PLAY FOOD
we see school,WE SEE SCHOOL
i want movie,I WANT MOVIE
she go movie,SHE GO MOVIE
she go food,SHE GO FOOD
they like book,THEY LIKE BOOK
they want movie,THEY WANT MOVIE
you see movie,YOU SEE MOVIE
he play book,HE PLAY BOOK
i study school,I STUDY SCHOOL
you see movie,YOU SEE MOVIE
i see movie,I SEE MOVIE
they want school,THEY WANT SCHOOL
we eat water,WE EAT WATER
we go water,WE GO WATER
we study movie,WE STUDY MOVIE
he play movie,HE PLAY MOVIE
she play school,SHE PLAY SCHOOL
i study movie,I STUDY MOVIE
they want movie,THEY WANT MOVIE
they want college,THEY WANT COLLEGE
we see movie,WE SEE MOVIE
i study water,I STUDY WATER
you want book,YOU WANT BOOK
i go book,I GO BOOK
we want book,WE WANT BOOK
i eat school,I EAT SCHOOL
we study movie,WE STUDY MOVIE
i go water,I GO WATER
they play food,THEY PLAY FOOD
they study book,THEY STUDY BOOK
he see food,HE SEE FOOD
i drink food,I DRINK FOOD
they study college,THEY STUDY COLLEGE
you study cricket,YOU STUDY CRICKET
they eat water,THEY EAT WATER
he like cricket,HE LIKE CRICKET
he see water,HE SEE WATER
she play college,SHE PLAY COLLEGE
she want movie,SHE WANT MOVIE
i study cricket,I STUDY CRICKET
she study movie,SHE STUDY MOVIE
we want food,WE WANT FOOD
he like water,HE LIKE WATER
we see food,WE SEE FOOD
i see book,I SEE BOOK
we drink food,WE DRINK FOOD
they drink water,THEY DRINK WATER
he study food,HE STUDY FOOD
he like movie,HE LIKE MOVIE
he see cricket,HE SEE CRICKET
they drink school,THEY DRINK SCHOOL
they go water,THEY GO WATER
i eat college,I EAT COLLEGE
he drink college,HE DRINK COLLEGE
you play movie,YOU PLAY MOVIE
you go food,YOU GO FOOD
i eat food,I EAT FOOD
we see school,WE SEE SCHOOL
i see book,I SEE BOOK
he drink college,HE DRINK COLLEGE
they want food,THEY WANT FOOD
he eat book,HE EAT BOOK
they study college,THEY STUDY COLLEGE
you drink school,YOU DRINK SCHOOL
i eat water,I EAT WATER
we see water,WE SEE WATER
